#Patient Identifier	Sample Identifier	Primary Tumor Site	Tumor Type	Sample Origin	Gene Panel	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#Identifier to uniquely specify a patient.	A unique sample identifier.	Text term to describe the organ sub-division in an individual with cancer.	Tumor Type	Sample Origin	Gene panel.	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1
PATIENT_ID	SAMPLE_ID	PRIMARY_SITE	TUMOR_TYPE	SAMPLE_ORIGIN	GENE_PANEL	ONCOTREE_CODE	CANCER_TYPE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
ACHN	ACHN_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	RCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	1.436709678
AGS	AGS_STOMACH	Stomach	Stomach	Solid	NOVARTIS_BROAD_1651	ESCC	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	13.04090324
Alexander_cells	ALEXANDERCELLS_LIVER	Liver	Liver	Solid	NOVARTIS_BROAD_1651	HCC	Hepatobiliary Cancer	Hepatocellular Carcinoma	11.05161291
AM-38	AM38_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	GB	Glioma	Glioblastoma, IDH-wildtype	4.089096777
AML-193	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Aml	Haematopoietic	NOVARTIS_BROAD_1651	AML	Leukemia	Acute Myeloid Leukemia	3.426000002
AMO-1	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Multiple_Myeloma	Haematopoietic	NOVARTIS_BROAD_1651	PCM	Mature B-Cell Neoplasms	Plasma Cell Myeloma	6.18890323
AN3_CA	AN3CA_ENDOMETRIUM	Endometrium	Endometrium	Solid	NOVARTIS_BROAD_1651	UCEC	Endometrial Cancer	Endometrial Carcinoma	27.62903228
AsPC-1	ASPC1_PANCREAS	Pancreas	Pancreas	Solid	NOVARTIS_BROAD_1651	PAAD	Pancreatic Cancer	Pancreatic Adenocarcinoma	3.426000002
AU565	AU565_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	6.18890323
AZ-521	AZ521_STOMACH	Stomach	Stomach	Solid	NOVARTIS_BROAD_1651	ESCC	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	0
BC-3C	BC3C_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	0
BCP-1	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Lymphoma_Other	Haematopoietic	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	16.02483872
B-CPAP	BCPAP_THYROID	Thyroid	Thyroid	Solid	NOVARTIS_BROAD_1651	THPD	Thyroid Cancer	Poorly Differentiated Thyroid Cancer	4.199612906
BDCM	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	B-Cell_All	Haematopoietic	NOVARTIS_BROAD_1651	BLL	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	2.873419357
Becker	BECKER_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	GB	Glioma	Glioblastoma, IDH-wildtype	3.426000002
BEN	BEN_LUNG	Lung	Lung_Nsc	Solid	NOVARTIS_BROAD_1651	NSCLC	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	5.857354843
BFTC-905	BFTC905_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	4.862709681
BFTC-909	BFTC909_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	RCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	3.536516132
BHT-101	BHT101_THYROID	Thyroid	Thyroid	Solid	NOVARTIS_BROAD_1651	THPD	Thyroid Cancer	Poorly Differentiated Thyroid Cancer	0
BHY	BHY_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	5.194258068
BICR_16	BICR16_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	2.983935486
BICR_18	BICR18_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	13.92503227
BICR_22	BICR22_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	0
BICR_31	BICR31_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	2.43135484
BICR_56	BICR56_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	4.531161294
BICR_6	BICR6_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	2.873419357
BL-41	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Lymphoma_Burkitt	Haematopoietic	NOVARTIS_BROAD_1651	BL	Mature B-Cell Neoplasms	Burkitt Lymphoma	4.089096777
BL-70	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Lymphoma_Burkitt	Haematopoietic	NOVARTIS_BROAD_1651	BL	Mature B-Cell Neoplasms	Burkitt Lymphoma	2.43135484
BT-20	BT20_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	6.299419359
