PATIENT_ID	cBio_scRNA_sample_ID	MxIF_aliquot_ID	thumbnail	minerva
HTA8_6001	HTA8_6001_003101	HTA8_6001_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371499/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371499/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371516/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371516/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371523/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371523/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371527/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371527/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371533/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371533/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371540/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371540/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371547/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371547/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371552/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371552/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371559/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371559/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371563/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371563/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371568/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371568/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371571/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371571/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371577/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371577/minerva/index.html#s=0
HTA8_6002	HTA8_6002_001101	HTA8_6002_001103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371587/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371587/minerva/index.html#s=0
