#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID	Proteomics TMT label	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	Tumor Break Load
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	The type of sample (i.e., Primary, normal, met, recurrence).	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID used in proteomics assay	Proteomics TMT label used in proteomics assay	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	The sum of unbalanced somatic chromosomal breaks per tumor sample (Lakbir et al., Eur J Cancer 2022; Data from new manuscript in progress)
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER	STRING	STRING	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HISTOLOGY	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE	PROTEOMICS_10PLEX_ID	PROTEOMICS_TMT_LABEL	TMB_NONSYNONYMOUS	ONCOTREE_CODE	SUBTYPE	LINEAGE	LINEAGE_SUBTYPE	LINEAGE_SUB_SUBTYPE	LINEAGE_MOLECULAR_SUBTYPE	CANCER_TYPE	CANCER_TYPE_DETAILED	TBL_SCORE
NCIH1184_LUNG	NCIH1184_LUNG	1	2.56	1	ACH-000523	NCI-H1184	lymph_node	Metastasis	Lung	NS	NS	NS	Carcinoma	small_cell_carcinoma	NS	NS	CCLE	ATCC	Mixed (lymphoblasts)	RPMI-1640 + 10% FBS	NA	5%DMSO	NA	151.7	lung_small_cell	lung_small_cell	Lung:SCLC	134.1563317	NA	NA	12.3	SCLC	Small Cell Lung Cancer (SCLC)	lung	SCLC			Small Cell Lung Cancer	Small Cell Lung Cancer	138
HCC2157_BREAST	HCC2157_BREAST	0.99	2.76	1	ACH-000691	HCC2157	NA	Primary	Breast	NS	NS	NS	Carcinoma	ductal_carcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	breast	breast	NA	173.1865428	NA	NA	13.2333333333	BRCA	Breast Ductal Carcinoma	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	Breast Cancer	Invasive Breast Carcinoma	314
TC71_BONE	TC71_BONE	1	2.05	0	ACH-000424	TC-71	NA	Primary	Bone	NS	NS	NS	Ewings_Sarcoma-Peripheral_Primitive_Neuroectodermal_Tumour	NS	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	Ewings_Sarcoma	Ewings_sarcoma	Bone:Sarcoma_Ewing	116.191956	25	130c	11.0	ES	Ewings Sarcoma	bone	Ewing_sarcoma			Bone Cancer	Ewing Sarcoma	
NCIH2227_LUNG	NCIH2227_LUNG	1	2.52	1	ACH-000610	NCI-H2227	NA	Primary	Lung	NS	NS	NS	Carcinoma	small_cell_carcinoma	NS	NS	CCLE	ATCC	mixed	DMEM:HAM's F12  1:1  +5% FBS	0.005 mg/ml Insulin, 0.01 mg/ml transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 1 mM L-glutamine	5%DMSO	NA	187.6	lung_small_cell	lung_small_cell	Lung:SCLC	136.788956	NA	NA	15.5333333333	SCLC	Small Cell Lung Cancer (SCLC)	lung	SCLC			Small Cell Lung Cancer	Small Cell Lung Cancer	55
COLO205_LARGE_INTESTINE	COLO205_LARGE_INTESTINE	1	3.34	1	ACH-001039	COLO 205	ascites	Metastasis	Large_Intestine	colon	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	colorectal	colorectal	NA	NA	20	126	10.3	COADREAD	Adenocarcinoma	colorectal	colorectal_adenocarcinoma			Colorectal Cancer	Colorectal Adenocarcinoma	
SNU449_LIVER	SNU449_LIVER	1	2.49	1	ACH-000420	SNU-449	NA	Primary	Liver	NS	NS	NS	Carcinoma	hepatocellular_carcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	liver	liver	Liver:HCC	153.5990748	39	130c	10.3666666667	HCC	Hepatocellular Carcinoma	liver	hepatocellular_carcinoma			Hepatobiliary Cancer	Hepatocellular Carcinoma	77
NCIH28_PLEURA	NCIH28_PLEURA	1	3.94	1	ACH-000648	NCI-H28	pleura	Metastasis	Pleura	NS	NS	NS	Mesothelioma	NS	NS	NS	CCLE	ATCC	adherent	RPMI+10%FBS	NA	10% DMSO	NA	81.2	mesothelioma	mesothelioma	Lung:Mesothelioma	144.0712209	NA	NA	9.93333333333	PLMESO	Mesothelioma	lung	mesothelioma			Mesothelioma	Pleural Mesothelioma	
OV56_OVARY	OV56_OVARY	1	1.94	0	ACH-000091	OV56	NA	Primary	Ovary	NS	NS	NS	Carcinoma	NS	NS	NS	CCLE	ECACC	adherent epithelial	DMEM:HAM's F12  1:1  +5% FBS	0.5 ug/ml hydrocortisone + 10ug/ml insulin	5%DMSO	NA	148.6	ovary	ovary	Ovary:Carcinoma	85.71718592	35	128n	5.86666666667	SOC	Adenocarcinoma, serous	ovary	ovary_adenocarcinoma	serous		Ovarian Cancer	Serous Ovarian Cancer	24
JHOS4_OVARY	JHOS4_OVARY	1	1.67	0	ACH-000584	JHOS-4	NA	Primary	Ovary	NS	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	RIKEN	NA	DMEM:F12 + 10% FBS	0.1 mM NEAA	5% DMSO	NA	127.3	ovary	ovary	Ovary:Carcinoma	160.5655743	NA	NA	12.1333333333	HGSOC	Adenocarcinoma, high grade serous	ovary	ovary_adenocarcinoma	high_grade_serous		Ovarian Cancer	High-Grade Serous Ovarian Cancer	
KYSE450_OESOPHAGUS	KYSE450_OESOPHAGUS	1	2.39	1	ACH-000865	KYSE-450	NA	Primary	Oesophagus	middle_third	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	GNF	NA	NA	NA	NA	~ 30 hrs	NA	esophagus	esophagus	Oesophagus:Carcinoma	324.7573697	9	129c	24.8	ESCC	Squamous Cell Carcinoma	esophagus	esophagus_squamous			Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	261
