#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID	Proteomics TMT label	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	Tumor Break Load
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	The type of sample (i.e., Primary, normal, met, recurrence).	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID used in proteomics assay	Proteomics TMT label used in proteomics assay	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	The sum of unbalanced somatic chromosomal breaks per tumor sample (Lakbir et al., Eur J Cancer 2022; Data from new manuscript in progress)
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER	STRING	STRING	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HISTOLOGY	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE	PROTEOMICS_10PLEX_ID	PROTEOMICS_TMT_LABEL	TMB_NONSYNONYMOUS	ONCOTREE_CODE	SUBTYPE	LINEAGE	LINEAGE_SUBTYPE	LINEAGE_SUB_SUBTYPE	LINEAGE_MOLECULAR_SUBTYPE	CANCER_TYPE	CANCER_TYPE_DETAILED	TBL_SCORE
BT549_BREAST	BT549_BREAST	1	1.34	0	ACH-000288	BT-549	NA	Primary	Breast	NS	NS	NS	Carcinoma	ductal_carcinoma	papillary	NS	CCLE	ATCC	Adherent	RPMI + 10 % FBS	NA	5%DMSO	NA	98.4	breast	breast	NA	100.4679692	7	128n	6.73333333333	BRCA	Breast Ductal Carcinoma	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_B	Breast Cancer	Invasive Breast Carcinoma	
NCIH2196_LUNG	NCIH2196_LUNG	1	1.79	0	ACH-000399	NCI-H2196	bone_marrow	Metastasis	Lung	NS	NS	NS	Carcinoma	small_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	DMEM:F12+5% FBS	5ug/ml insulin, 10ug/ml transferrin, 30nM Na Selenite, 10nM Hydrocortisone, 10nM Beta-estradiol, 10mM HEPES, 2mM L-glutamine	5% DMSO	NA	89.9	lung_small_cell	lung_small_cell	Lung:SCLC	102.005835	NA	NA	11.3333333333	SCLC	Small Cell Lung Cancer (SCLC)	lung	SCLC			Small Cell Lung Cancer	Small Cell Lung Cancer	114
CAL851_BREAST	CAL851_BREAST	1	2.65	1	ACH-000857	CAL-85-1	NA	Primary	Breast	NS	NS	NS	Carcinoma	NS	NS	NS	CCLE	DSMZ	NA	DMEM+10% FBS	NA	5% DMSO	NA	58.4	breast	breast	Breast:Carcinoma	176.8432245	7	129n	7.23333333333	BRCA	Carcinoma	breast	breast_carcinoma	ERneg_HER2neg	basal_A	Breast Cancer	Invasive Breast Carcinoma	252
EFO21_OVARY	EFO21_OVARY	1	2.88	1	ACH-000308	EFO-21	ascites	Metastasis	Ovary	NS	NS	NS	Carcinoma	serous_carcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	ovary	ovary	Ovary:Carcinoma	104.5920312	NA	NA	11.1	CCOV	Adenocarcinoma, clear cell	ovary	ovary_adenocarcinoma	clear_cell		Ovarian Cancer	Clear Cell Ovarian Cancer	437
A375_SKIN	A375_SKIN	0.99	2.76	1	ACH-000219	A-375	NA	Primary	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	ATCC	Adherent	DMEM +10%FBS	NA	5%DMSO	NA	30.8	melanoma	melanoma	Skin:Melanoma	150.0581377	3	128c	20.7333333333	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	162
HT29_LARGE_INTESTINE	HT29_LARGE_INTESTINE	1	3.12	1	ACH-000552	HT-29	NA	Primary	Large_Intestine	colon	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	colorectal	colorectal	Colorectal:Carcinoma	110.863065	4	127c	13.8666666667	COADREAD	Adenocarcinoma	colorectal	colorectal_adenocarcinoma			Colorectal Cancer	Colorectal Adenocarcinoma	120
NCIH446_LUNG	NCIH446_LUNG	1	3.16	1	ACH-000800	NCI-H446	pleura	Metastasis	Lung	NS	NS	NS	Carcinoma	small_cell_carcinoma	NS	NS	CCLE	ATCC	Mixed; adherent and suspension	RPMI-1640+10%FBS	NA	5% DMSO	NA	294	lung_small_cell	lung_small_cell	Lung:SCLC	177.0097006	38	130n	32.1	SCLC	Small Cell Lung Cancer (SCLC)	lung	SCLC			Small Cell Lung Cancer	Small Cell Lung Cancer	146
HS294T_SKIN	HS294T_SKIN	1	3.07	1	ACH-000014	Hs 294T	lymph_node	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	ATCC	Adherent	DMEM +10%FBS	NA	5%DMSO	NA	67.5	melanoma	melanoma	Skin:Melanoma	73.81343009	2	129n	18.3	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	56
SKMEL5_SKIN	SKMEL5_SKIN	0.99	2.81	1	ACH-000730	SK-MEL-5	axillary_node	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	melanoma	melanoma	Skin:Melanoma	138.4460038	23	130c	18.5666666667	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	66
HS944T_SKIN	HS944T_SKIN	1	2.75	1	ACH-000632	Hs 944.T	lymph_node	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	melanoma	melanoma	Skin:Melanoma	111.4636539	5	128c	10.8	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	63
TCCPAN2_PANCREAS	TCCPAN2_PANCREAS	1	3.31	1	ACH-000502	TCC-PAN2	NA	Primary	Pancreas	NS	NS	NS	Carcinoma	NS	NS	NS	CCLE	HSRRB	adherent epithelial	RPMI-1640 + 10% FBS	NA	5%DMSO	NA	83.3	pancreas	pancreas	Pancreas:Carcinoma	181.2273729	9	126	7.26666666667	PAAD	Ductal Adenocarcinoma, exocrine	pancreas	exocrine	exocrine_adenocarcinoma		Pancreatic Cancer	Pancreatic Adenocarcinoma	
DOV13_OVARY	DOV13_OVARY	1	3.21	1	ACH-001063	DOV13	NA	Primary	Ovary	NS	NS	NS	Carcinoma	NS	NS	NS	CCLE	Acd Lab	Suspension	RPMI-1640+10%FBS	NA	5%DMSO	NA	29	ovary	ovary	Ovary:Carcinoma	NA	NA	NA	38.8333333333	OVT	Adenocarcinoma	ovary	ovary_adenocarcinoma			Ovarian Cancer	Ovarian Epithelial Tumor	
RMGI_OVARY	RMGI_OVARY	0.99	2.18	0	ACH-000719	RMG-I	NA	Primary	Ovary	NS	NS	NS	Carcinoma	clear_cell_carcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	ovary	ovary	Ovary:Carcinoma	217.4137109	NA	NA	8.56666666667	CCOV	Adenocarcinoma, clear cell	ovary	ovary_adenocarcinoma	clear_cell		Ovarian Cancer	Clear Cell Ovarian Cancer	267
PC3_PROSTATE	PC3_PROSTATE	1	3.09	1	ACH-000090	PC-3	bone	Metastasis	Prostate	NS	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	ATCC	ADHERENT EPITHELIAL;	F-12 +10%FBS	NA	5% DMSO	NA	42.3	prostate	prostate	Prostate:Carcinoma	80.19387358	9	129n	5.03333333333	PRAD	Adenocarcinoma	prostate	prostate_adenocarcinoma			Prostate Cancer	Prostate Adenocarcinoma	138
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	3.05	1	ACH-000551	K-562	pleura	Metastasis	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Haematopoietic_Neoplasm	blast_phase_chronic_myeloid_leukaemia	Ph_positive	NS	CCLE	ATCC	SUSPENSION	RPMI-1640+10%FBS	10mM L-GLUTAMINE	5%DMSO	NA	53.2	CML	CML	Leukemia:CML	131.2836569	25	128n	12.3333333333	CML	Chronic Myelogenous Leukemia (CML), blast crisis	blood	CML	blast_crisis		Myeloproliferative Neoplasms	Chronic Myelogenous Leukemia	
RT112_URINARY_TRACT	RT112_URINARY_TRACT	1	2.04	0	ACH-000473	RT-112	NA	Primary	Urinary_Tract	bladder	NS	NS	Carcinoma	transitional_cell_carcinoma	NS	NS	CCLE	DSMZ	Adherent	RPMI +10%FBS	NA	5%DMSO	NA	36.1	urinary_tract	urinary_tract	Bladder:Carcinoma	116.3492966	9	130n	8.1	BLCA	Transitional Cell Carcinoma	urinary_tract	bladder_carcinoma	bladder_transitional_cell		Bladder Cancer	Bladder Urothelial Carcinoma	50
NUGC3_STOMACH	NUGC3_STOMACH	1	2.45	1	ACH-000911	NUGC-3	NA	Primary	Stomach	NS	NS	NS	Carcinoma	NS	NS	NS	CCLE	JHSF	Epithelial-like	RPMI1640+10%FBS	NA	5%DMSO	NA	34.2	stomach	stomach	Gastric:Carcinoma	334.9102022	25	128c	40.1333333333	STAD	Adenocarcinoma	gastric	gastric_adenocarcinoma			Esophagogastric Cancer	Stomach Adenocarcinoma	127
U87MG_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	1	1.94	0	ACH-000075	U-87 MG	NA	Primary	Central_Nervous_System	brain	NS	NS	Glioma	astrocytoma	NS	NS	CCLE	ATCC	Adherent epithelial.	EMEM + 10% FBS	NA	5%DMSO	NA	66	glioma	glioma	CNS:Glioma	88.68010645	28	130c	4.76666666667	ASTR	Astrocytoma	central_nervous_system	glioma	astrocytoma		Glioma	Astrocytoma, IDH-Mutant	61
CAKI2_KIDNEY	CAKI2_KIDNEY	1	1.43	0	ACH-000234	Caki-2	NA	Primary	Kidney	NS	NS	NS	Carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	kidney	kidney	Kidney:Carcinoma	97.33436222	6	130n	7.16666666667	CCRCC	Renal Carcinoma, clear cell	kidney	renal_cell_carcinoma	clear_cell		Renal Cell Carcinoma	Renal Clear Cell Carcinoma	
OE19_OESOPHAGUS	OE19_OESOPHAGUS	1	2.69	1	ACH-000679	OE19	NA	Primary	Oesophagus	lower_third	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	HPACC	AHERENT EPITHELIAL;	RPMI-1640+10%FBS	2mM l-GLUTAMINE	5%DMSO	NA	78.3	esophagus	esophagus	Oesophagus:Carcinoma	153.3131471	NA	NA	10.7666666667	ESCC	Squamous Cell Carcinoma	esophagus	esophagus_squamous	laryngeal		Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	178
KMRC2_KIDNEY	KMRC2_KIDNEY	1	1.89	0	ACH-000709	KMRC-2	NA	Primary	Kidney	NS	NS	NS	Carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	CCLE	HSRRB	NA	DMEM+10% FBS	NA	5% DMSO	NA	113.3	kidney	kidney	Kidney:Carcinoma	207.7442122	NA	NA	8.2	CCRCC	Renal Carcinoma, clear cell	kidney	renal_cell_carcinoma	clear_cell		Renal Cell Carcinoma	Renal Clear Cell Carcinoma	
JHH2_LIVER	JHH2_LIVER	1	2.82	1	ACH-000577	JHH-2	ascites	Metastasis	Liver	NS	NS	NS	Carcinoma	hepatocellular_carcinoma	NS	NS	CCLE	HSRRB	Adherent	EMEM +10 % FBS	NA	5%DMSO	NA	99.1	liver	liver	Liver:HCC	200.1671139	NA	NA	11.9	HCC	Hepatocellular Carcinoma	liver	hepatocellular_carcinoma			Hepatobiliary Cancer	Hepatocellular Carcinoma	
IM95_STOMACH	IM95_STOMACH	1	2.09	0	ACH-000919	IM95	NA	Primary	Stomach	NS	NS	NS	Carcinoma	intestinal_adenocarcinoma	NS	NS	CCLE	HSRRB	Adherent	DMEM +10%FBS	10mg/L insulin	5% DMSO	NA	40.2	stomach	stomach	Gastric:Carcinoma	387.6541767	28	128n	61.1666666667	ISTAD	Adenocarcinoma	gastric	gastric_adenocarcinoma			Esophagogastric Cancer	Intestinal Type Stomach Adenocarcinoma	76
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.07	0	ACH-000045	MV-4-11	NA	Primary	Haematopoietic_And_Lymphoid_Tissue	lymph_node	NS	NS	Haematopoietic_Neoplasm	acute_myeloid_leukaemia	M5	NS	CCLE	ATCC	suspension	IMDM+10% FBS	NA	5% DMSO	NA	55.2	AML	AML	Leukemia:AML	70.07829872	NA	NA	5.56666666667	AML	Acute Myelogenous Leukemia (AML)	blood	AML			Leukemia	Acute Myeloid Leukemia	26
WM2664_SKIN	WM2664_SKIN	1	1.94	0	ACH-001239	WM-266-4	skin	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	ATCC	Adherent	EMEM + 10% FBS	NA	5%DMSO	NA	38.7	melanoma	melanoma	Skin:Melanoma	123.3526453	2	128n	12.9333333333	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	90
KMRC1_KIDNEY	KMRC1_KIDNEY	1	1.94	0	ACH-000684	KMRC-1	NA	Primary	Kidney	NS	NS	NS	Carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	CCLE	HSRRB	NA	DMEM+10% FBS	NA	5% DMSO	NA	46.4	kidney	kidney	Kidney:Carcinoma	204.6747718	1	128n	9.4	CCRCC	Renal Carcinoma, clear cell	kidney	renal_cell_carcinoma	clear_cell		Renal Cell Carcinoma	Renal Clear Cell Carcinoma	
KM12_LARGE_INTESTINE	KM12_LARGE_INTESTINE	1	2	0	ACH-000969	KM12	NA	Primary	Large_Intestine	colon	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	colorectal	colorectal	NA	558.2436121	NA	NA	110.7	COADREAD	Adenocarcinoma	colorectal	colorectal_adenocarcinoma		MSI	Colorectal Cancer	Colorectal Adenocarcinoma	78
COLO849_SKIN	COLO849_SKIN	1	2.71	1	ACH-001045	COLO-849	lymph_node	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	melanoma	melanoma	NA	NA	NA	NA	NA	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	
T84_LARGE_INTESTINE	T84_LARGE_INTESTINE	1	2.85	1	ACH-000381	T84	lung	Metastasis	Large_Intestine	colon	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	colorectal	colorectal	Colorectal:Carcinoma	101.5163334	NA	NA	12.6	COADREAD	Adenocarcinoma	colorectal	colorectal_adenocarcinoma			Colorectal Cancer	Colorectal Adenocarcinoma	139
CALU1_LUNG	CALU1_LUNG	1	2.84	1	ACH-000511	Calu-1	pleura	Metastasis	Lung	NS	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	120.70541	23	127c	8.3	LUSC	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	lung	NSCLC	NSCLC_squamous		Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	38
LOXIMVI_SKIN	LOXIMVI_SKIN	1	3.29	1	ACH-000750	LOX IMVI	NA	Primary	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NCI/DCTD	NA	RPMI-1640+10% FBS	NA	5% DMSO	NA	29.3	melanoma	melanoma	Skin:Melanoma	159.042239	19	127c	17.7333333333	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	107
NCIH2170_LUNG	NCIH2170_LUNG	1	2.91	1	ACH-000481	NCI-H2170	NA	Primary	Lung	NS	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	NA	MIXED	RPMI1640+10%FBS	NA	5%DMSO	NA	68.7	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	120.027116	12	128c	13.1666666667	LUSC	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	lung	NSCLC	NSCLC_squamous		Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	83
SQ1_LUNG	SQ1_LUNG	1	3.04	1	ACH-000553	Sq-1	NA	Primary	Lung	NS	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	RIKEN	NA	RPMI-1640+10%FBS	NA	5% DMSO	NA	63.9	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	166.3312692	14	129n	14.6	LUSC	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	lung	NSCLC	NSCLC_squamous		Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	
AN3CA_ENDOMETRIUM	AN3CA_ENDOMETRIUM	0.96	2.21	0	ACH-000940	AN3 CA	lymph_node	Metastasis	Endometrium	NS	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	ATCC	Adherent epithelial	EMEM + 10% FBS	NA	5% DMSO	NA	88.9	endometrium	endometrium	Endometrium:Carcinoma	485.2864575	NA	NA	81.8333333333	UCEC	Endometrial Adenocarcinoma	uterus	endometrial_adenocarcinoma			Endometrial Cancer	Endometrial Carcinoma	49
NCIH2444_LUNG	NCIH2444_LUNG	1	1.53	0	ACH-000186	NCI-H2444	NA	Primary	Lung	NS	NS	NS	Carcinoma	non_small_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	RPMI-1640+10% FBS	NA	5%DMSO	NA	116	lung_NSC	lung_NSC	Lung:NSCLC_Others	84.93713188	NA	NA	8.16666666667	NSCLC	Non-Small Cell Lung Cancer (NSCLC), unspecified	lung	NSCLC			Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	
UACC257_SKIN	UACC257_SKIN	1	8.3	2	ACH-000579	UACC-257	NA	Primary	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NCI/DCTD	NA	RPMI-1640+10% FBS	NA	5% DMSO	NA	40.9	melanoma	melanoma	Skin:Melanoma	116.3503166	11	130c	14.0333333333	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	70
KYSE510_OESOPHAGUS	KYSE510_OESOPHAGUS	0.98	3.75	2	ACH-000824	KYSE-510	NA	Primary	Oesophagus	upper_third	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	GNF	NA	NA	NA	NA	~ 30 hrs	NA	esophagus	esophagus	Oesophagus:Carcinoma	200.0668926	22	127c	20.2	ESCC	Squamous Cell Carcinoma	esophagus	esophagus_squamous			Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	2.27	0	ACH-000362	MOLM-13	NA	Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Haematopoietic_Neoplasm	acute_myeloid_leukaemia	M5a	NS	CCLE	DSMZ	suspension; dt=50hrs	RPMI-1640+20%FBS	NA	5% DMSO	50 hrs	60.6	AML	AML	Leukemia:AML	147.478632	27	130n	7.33333333333	AML	Acute Myelogenous Leukemia (AML)	blood	AML			Leukemia	Acute Myeloid Leukemia	
HUPT4_PANCREAS	HUPT4_PANCREAS	1	3.25	1	ACH-000213	HUP-T4	ascites	Metastasis	Pancreas	NS	NS	NS	Carcinoma	NS	NS	NS	CCLE	DSMZ	mixed	MEM + 10 % FBS	NA	5%DMSO	NA	440	pancreas	pancreas	Pancreas:Carcinoma	144.7327222	41	129c	7.23333333333	PAAD	Ductal Adenocarcinoma, exocrine	pancreas	exocrine	exocrine_adenocarcinoma		Pancreatic Cancer	Pancreatic Adenocarcinoma	
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	1	1.62	0	ACH-001125	MOG-G-CCM	NA	Primary	Central_Nervous_System	brain	NS	NS	Glioma	astrocytoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	glioma	glioma	NA	NA	NA	NA	3.76666666667	ASTR	Glioma	central_nervous_system	glioma			Glioma	Astrocytoma, IDH-Mutant	
KYSE30_OESOPHAGUS	KYSE30_OESOPHAGUS	1	3.26	2	ACH-000777	KYSE-30	NA	Primary	Oesophagus	NS	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	GNF	NA	NA	NA	NA	~ 30 hrs	NA	esophagus	esophagus	Oesophagus:Carcinoma	188.0952893	34	129n	26.9666666667	ESCC	Squamous Cell Carcinoma	esophagus	esophagus_squamous			Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	264
KYSE150_OESOPHAGUS	KYSE150_OESOPHAGUS	0.98	3.14	1	ACH-000855	KYSE-150	NA	Primary	Oesophagus	upper_third	NS	NS	Carcinoma	squamous_cell_carcinoma	NS	NS	CCLE	DSMZ	Epithelial adherent monolayer	RPMI:Ham F12 +5%FBS	NA	10%DMSO	NA	40	esophagus	esophagus	Oesophagus:Carcinoma	248.1113517	26	127c	22.0333333333	ESCC	Squamous Cell Carcinoma	esophagus	esophagus_squamous			Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	
PSN1_PANCREAS	PSN1_PANCREAS	1	2.85	1	ACH-000320	PSN1	NA	Primary	Pancreas	NS	NS	NS	Carcinoma	ductal_carcinoma	NS	NS	CCLE	ECACC	adherent epithelial	RPMI-1640 + 10% FBS	2mM Glutamine	5%DMSO	NA	40.9	pancreas	pancreas	Pancreas:Carcinoma	137.8566605	NA	NA	7.43333333333	PAAD	Ductal Adenocarcinoma, exocrine	pancreas	exocrine	exocrine_adenocarcinoma		Pancreatic Cancer	Pancreatic Adenocarcinoma	
NCIH1299_LUNG	NCIH1299_LUNG	1	2.62	1	ACH-000510	NCI-H1299	lymph_node	Metastasis	Lung	NS	NS	NS	Carcinoma	non_small_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	RPMI-1640+10%FBS	NA	5% DMSO	NA	47.4	lung_NSC	lung_NSC	Lung:NSCLC_Others	136.1844623	6	129n	15.5333333333	LCLC	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	lung	NSCLC	NSCLC_large_cell		Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	230
PATU8988T_PANCREAS	PATU8988T_PANCREAS	1	3.02	1	ACH-000023	PA-TU-8988T	liver	Metastasis	Pancreas	NS	NS	NS	Carcinoma	ductal_carcinoma	NS	NS	CCLE	GNF	NA	NA	NA	NA	NA	NA	pancreas	pancreas	Pancreas:Carcinoma	91.40122228	3	126	7.06666666667	PAAD	Ductal Adenocarcinoma, exocrine	pancreas	exocrine	exocrine_adenocarcinoma		Pancreatic Cancer	Pancreatic Adenocarcinoma	90
IGR37_SKIN	IGR37_SKIN	1	1.76	0	ACH-000650	IGR-37	lymph_node	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	39.4	melanoma	melanoma	Skin:Melanoma	128.2141157	1	130n	12.4666666667	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	
LN443_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	0.99	2.79	1	ACH-000673	LN-443	NA	NA	Central_Nervous_System	brain	NS	NS	Glioma	astrocytoma_Grade_IV	NS	NS	COSMIC	NA	NA	NA	NA	NA	NA	NA	glioma	glioma	NA	160.7552819	NA	NA	6.3	ASTR	Glioblastoma	central_nervous_system	glioma	glioblastoma		Glioma	Astrocytoma, IDH-Mutant	
SLR23_KIDNEY	SLR23_KIDNEY	NA	NA	NA	ACH-000246	SLR 23	NA	Primary	Kidney	NS	NS	NS	Carcinoma	renal_cell_carcinoma	NS	NS	collaborator	NA	NA	NA	NA	NA	NA	NA	kidney	kidney	NA	NA	NA	NA	4.73333333333	RCC	Renal Cell Carcinoma	kidney	renal_cell_carcinoma			Renal Cell Carcinoma	Renal Cell Carcinoma	
HMEL_BREAST	HMEL_BREAST	NA	NA	NA	ACH-000642	HMEL	NA	NA	Breast	NS	NS	NS	Other	immortalized_epithelial	NS	NS	ACHILLES	NA	NA	NA	NA	NA	NA	NA	breast	breast	NA	136.5311627	NA	NA	4.0	BRCA		engineered_breast				Breast Cancer	Invasive Breast Carcinoma	
OELE_OVARY	OELE_OVARY	NA	NA	NA	ACH-000494	OELE	NA	NA	Ovary	NS	NS	NS	Other	immortalized_epithelial	NS	NS	ACHILLES	NA	NA	NA	NA	NA	NA	NA	ovary	ovary	NA	115.9910046	NA	NA	3.63333333333	OVARY		engineered_ovary				Ovarian/Fallopian Tube Cancer, NOS	Ovary/Fallopian Tube	
LN235_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	0.96	4.03	2	ACH-000591	LN-235	NA	NA	Central_Nervous_System	brain	NS	NS	Glioma	astrocytoma_Grade_IV	NS	NS	COSMIC	NA	NA	NA	NA	NA	NA	NA	glioma	glioma	NA	117.8995842	NA	NA	4.76666666667	ASTR	Astrocytoma	central_nervous_system	glioma	astrocytoma		Glioma	Astrocytoma, IDH-Mutant	
BJHTERT_SKIN	BJHTERT_SKIN	NA	NA	NA	ACH-001018	BJ hTERT	NA	NA	Skin	foreskin	NS	NS	Other	immortalized_fibroblast	NS	NS	ACHILLES	NA	NA	NA	NA	NA	NA	NA	melanoma	fibroblast_like	NA	NA	NA	NA	NA	SKCM		fibroblast				Melanoma	Cutaneous Melanoma	
