27	ABLL
27	ARG
28	A3GALNT
28	A3GALT1
29	MDB
30	Lnc-Myd88
31	ACAC
31	ACACalpha
31	ACC
31	ACC-alpha
31	ACC1
31	ACCA
31	ACCalpha
31	Acac1
31	hACC1
32	ACACbeta
32	ACC-beta
32	ACC2
32	ACCB
32	ACCbeta
32	HACC275
33	ACAD4
33	LCAD
34	ACAD1
34	MCAD
34	MCADH
35	ACAD3
35	SCAD
36	ACAD7
36	SBCAD
37	ACAD6
37	LCACD
37	VLCAD
38	ACAT
38	THIL
40	ACCN
40	ACCN1
40	ASIC2a
40	BNaC1
40	MDEG
40	hBNaC1
41	ACCN2
41	BNaC2
41	hBNaC2
43	YT
47	ACL
47	ATPCL
47	CLATP
48	IREB1
48	IREBP
48	IRP1
50	ACONM
51	PALMCOX
52	HAAP
52	LMW-PTP
52	LMWPTP
53	LAP
54	HPAP
54	TRAP
54	TRAcP
55	ACP-3
55	ACPP
55	TM-PAP
56	D11S4365
56	SP-10
56	SPACA2
58	ACTA
58	NEM3
59	ACTSA
70	ACTC
70	CMD1R
71	ACTG
71	DFNA20
71	DFNA26
72	ACTA3
72	ACTL3
72	ACTSG
73	ACT1GP1
73	ACTGP1
74	ACTGP2
74	ACTL2
75	ACTGP3
78	ACTGP6
79	ACTGP7
80	ACTGP8
81	FSGS1
82	ACTGP9
83	ACTGP10
83	ACTL1
86	Actl6
86	Arp4
86	Baf53a
86	INO80K
86	SMARCN1
90	ACVR1A
90	ACVRLK2
90	ALK2
90	SKR1
91	ACVRLK4
91	ALK4
91	ActRIB
91	SKR2
92	ACTRII
92	ACVR2
93	ActR-IIB
94	ACVRLK1
94	ALK1
94	HHT
94	HHT2
94	ORW2
100	ADA1
101	CD156
101	CD156A
101	MS2
102	CD156C
102	HsT18717
102	MADM
102	kuz
103	ADAR1
103	DRADA
103	G1P1
103	IFI4
104	ADAR2
104	ADAR2a
104	ADAR2a-L1
104	ADAR2a-L2
104	ADAR2a-L3
104	ADAR2b
104	ADAR2c
104	ADAR2d
104	ADAR2g
104	DRABA2
104	DRADA2
104	RED1
104	hRED1
105	ADAR3
105	RED2
105	hRED2
107	AC1
107	DFNB44
108	AC2
108	HBAC2
108	KIAA1060
109	AC3
111	AC5
112	AC6
113	AC7
113	KIAA0037
114	AC8
114	HBAC1
115	AC9
116	PACAP
117	PAC1
117	PAC1R
117	PACAPR
119	ADDB
120	ADDL
123	ADFP
123	ADRP
124	ADH1
125	ADH2
126	ADH3
127	ADH-2
128	ADH-3
128	ADHX
128	FDH
128	GSNOR
130	ADH-5
131	ADH-4
132	AK
133	AM
134	RDC7
135	ADORA2
135	RDC8
137	ADORA2BP
140	A3AR
140	AD026
141	ARH1
142	ADPRT
142	ARTD1
142	PARP
142	PARS
142	PPOL
142	Poly-PARP
143	ADPRTL1
143	ARTD4
143	VAULT3
143	VPARP
143	VWA5C
143	p193
144	ADPRTP1
144	PPOLP1
145	ADPRTP2
145	PPOLP2
146	ADRA1
146	ADRA1R
148	ADRA1C
